"state","age_group","race","death_2019","population_2019","covid_deaths","total_deaths_pandemic","annual_death_pandemic","prop_higher_education","fips","mean_household_income","private_insurance","public_insurance","no_insurance","mortrate_2019","mortrate_covid","mortrate_change","income","education","income_decile","education_decile"
"CO","55-64 years","Black or African American",311,27589,117,1231,335.7,42.8,8,107446,70.7,32.3,7.9,1127.26086483744,1216.78930008337,89.5284352459312,107446,42.8,8,10
"CO","55-64 years","White",4699,645168,1165,15718,4286.7,42.8,8,107446,70.7,32.3,7.9,728.337425290777,664.431589911465,-63.9058353793122,107446,42.8,8,10
"CO","65-74 years","Black or African American",327,15148,162,1602,436.9,42.8,8,107446,70.7,32.3,7.9,2158.70081858991,2884.20913651967,725.50831792976,107446,42.8,8,10
"CO","65-74 years","White",6890,482992,2192,27218,7423.1,42.8,8,107446,70.7,32.3,7.9,1426.52466293438,1536.89916189088,110.374498956505,107446,42.8,8,10
"CO","75-84 years","Black or African American",302,6452,136,1333,363.5,42.8,8,107446,70.7,32.3,7.9,4680.71915685059,5633.91196528208,953.192808431495,107446,42.8,8,10
"CO","75-84 years","White",8525,214271,2948,34318,9359.5,42.8,8,107446,70.7,32.3,7.9,3978.60653098179,4368.06660724036,389.46007625857,107446,42.8,8,10
"CO","85+ years","Black or African American",276,2232,112,1139,310.6,42.8,8,107446,70.7,32.3,7.9,12365.5913978495,13915.770609319,1550.17921146953,107446,42.8,8,10
"CO","85+ years","White",11405,84343,3538,42594,11616.5,42.8,8,107446,70.7,32.3,7.9,13522.1654434867,13772.9272138767,250.761770389956,107446,42.8,8,10
"CT","< 1 year","Black or African American",44,5370,NA,132,36,40.6,9,120670,70.5,36.2,5.2,819.366852886406,670.391061452514,-148.975791433892,120670,40.6,10,9
"CT","< 1 year","White",102,25260,NA,174,47.5,40.6,9,120670,70.5,36.2,5.2,403.800475059382,188.044338875693,-215.75613618369,120670,40.6,10,9
"CT","1-4 years","White",11,108677,0,18,4.9,40.6,9,120670,70.5,36.2,5.2,10.1217368900503,4.50877370556788,-5.61296318448246,120670,40.6,10,9
"CT","5-14 years","White",27,301386,NA,55,15,40.6,9,120670,70.5,36.2,5.2,8.95861121618124,4.9770062312118,-3.98160498496944,120670,40.6,10,9
"CT","15-24 years","Black or African American",49,67375,NA,204,55.6,40.6,9,120670,70.5,36.2,5.2,72.7272727272727,82.5231910946197,9.79591836734694,120670,40.6,10,9
"CT","15-24 years","White",179,363819,NA,458,124.9,40.6,9,120670,70.5,36.2,5.2,49.200289154772,34.3302576281063,-14.8700315266657,120670,40.6,10,9
"CT","25-34 years","Black or African American",84,70069,20,486,132.5,40.6,9,120670,70.5,36.2,5.2,119.881830766816,189.099316388132,69.2174856213161,120670,40.6,10,9
"CT","25-34 years","White",500,330324,35,1292,352.4,40.6,9,120670,70.5,36.2,5.2,151.366537096911,106.683135345903,-44.6834017510081,120670,40.6,10,9
"CT","35-44 years","Black or African American",121,59027,40,700,190.9,40.6,9,120670,70.5,36.2,5.2,204.990936351161,323.411320243279,118.420383892117,120670,40.6,10,9
"CT","35-44 years","White",646,325436,74,2125,579.5,40.6,9,120670,70.5,36.2,5.2,198.50293145196,178.068806155435,-20.4341252965253,120670,40.6,10,9
"CT","45-54 years","Black or African American",264,57075,105,1065,290.5,40.6,9,120670,70.5,36.2,5.2,462.549277266754,508.979413053,46.4301357862461,120670,40.6,10,9
